y,x0,x1,x2,x3,x4,x5
3.45,A0,A0,A0,75,150.0,12
2.99,A1,A1,A0,75,125.0,9
2.499,A1,A0,A0,125,150.0,9
6.3,A1,A0,A0,101,80.0,12
13.1,A0,A2,A1,283,150.0,4
12.74,A0,A3,A0,105,80.0,8
6.8,A0,A1,A0,60,50.0,5
14.5,A0,A2,A1,177,150.0,3
1.9,A1,A1,A0,75,150.0,8
2.399,A0,A4,A0,170,150.0,8
1.75,A1,A1,A0,58,150.0,10
5.5,A1,A2,A0,141,150.0,12
4.5,A1,A5,A0,116,150.0,1
0.7,A0,A1,A0,50,150.0,3
7.45,A1,A6,A0,90,,6
5.39,A1,A4,A0,179,150.0,5
15.0,A1,A5,A1,179,100.0,3
5.3,A1,A5,A1,71,80.0,3
1.299,A0,A1,A0,60,125.0,1
8.8,A1,A3,A0,122,70.0,5
0.599,A0,A1,A0,0,,3
22.95,A1,A0,A1,177,60.0,7
12.299,A1,A0,A0,143,150.0,0
1.35,A0,A3,A0,150,150.0,5
3.9,A1,A0,A1,131,100.0,0
3.69,A1,A0,A0,162,80.0,3
1.8,A1,A5,A0,50,150.0,3
5.2,A0,A1,A0,88,125.0,2
12.6,A0,A0,A1,170,150.0,8
9.99,A1,A3,A0,211,150.0,9
14.45,A0,A7,A1,140,150.0,5
1.85,A0,A0,A0,0,150.0,0
16.2,A0,A7,A0,140,40.0,4
0.55,A0,A1,A0,54,150.0,5
14.65,A1,A3,A0,200,125.0,2
6.7,A0,A7,A0,105,125.0,4
2.25,A1,A1,A0,0,125.0,11
1.45,A1,A1,A0,75,150.0,12
8.49,A1,A0,A1,110,150.0,6
5.49,A0,A0,A1,150,,9
0.8,A0,A8,A0,0,150.0,11
5.499,A0,A0,A1,0,150.0,0
0.99,A0,A3,A0,90,150.0,7
0.899,A0,A0,A0,54,150.0,1
9.999,A1,A8,,0,150.0,0
2.15,A0,A5,A0,95,125.0,8
2.0,A1,A3,A0,125,150.0,7
3.45,A0,A7,A0,102,150.0,6
1.0,A0,A0,A0,150,150.0,3
0.6,A1,A0,A1,75,90.0,0
0.3,A1,A8,A2,0,125.0,0
4.45,A0,A5,A1,98,150.0,4
0.5,A1,A0,A0,101,150.0,2
11.8,A1,A4,A0,14,30.0,0
8.5,A0,A2,A1,223,125.0,5
2.3,A1,A0,A1,165,150.0,6
0.25,A0,A1,A0,75,150.0,5
0.7,A0,A3,A0,71,150.0,12
12.5,A0,A8,A1,122,60.0,6
0.75,A0,A1,A0,58,150.0,4
0.8,A0,A1,A2,75,,3
1.5,A1,A3,A0,120,150.0,6
